ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. scutellaris MOR.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. submicans MOR.,3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. tridentata DUF.,1,3,3,Ruderalstellen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. uncinata GERST.,3,3,3,Mangel an Totholz
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. versicolor LATR.,1,0,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Stelis annulata (LEP.),-,0,0,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. nasuta (LATR.),-,3,3,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Farn. Anthophoridae,,,,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Ammobates punctatus (F.),-,1,1,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Anthophora aestivalis (PZ.),3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. biciliata LEP.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. bimaculata (PZ.),-,2,2,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. crinipes SM.,0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. fulvitarsis BR.,0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Aanthophora garrula (ROSSI.),-,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. nigrocincta LEP.,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. plagiata (ILL.),2,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. pubescens (F.),1,3,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. quadrifasciata (VILL.),0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. retusa (L.),0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Ceratina callosa (F.),0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Epeolus cruciger (PZ.),-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),E. tristis SM.,-,0,0,früher Kt. Wallis
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),E. variegatus (L.),-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Eucera interrupta BAER,1,3,3,auf Fabaceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Melecta luctuosa (SCOP.),2,3,3,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Nomada alboguttata H.S.,3,3,3,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. argentata H.S.,0,2,2,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. armata H.S.,2,3,3,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. atroscutellaris STR.,3,3,3,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. basalis H.S.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. blepharipes SCHM.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. braunsiana SCHM.,-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. carnifex MOCS.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. chrysopyga MOR.,-,0,0,früher Kt. Wallis
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. confinis SCHM.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. connectens PER.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. discrepans SCHM.,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. distinguenda MOR.,0,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. errans LEP.,2,0,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. femoralis MOR.,1,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. ferruginata (L.),1,0,1,
