Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
2311,"Pulverstrasse 9, 3063 Ittigen, Switzerland",46.976974799999994,7.4706116,Restaurant Azienda Siragusa,4.7,POINT (7.4706116 46.97697479999999),POINT (7.4706116 46.97697479999999)
2312,"Papiermühlestrasse 140, 3063 Ittigen, Switzerland",46.9714378,7.4721675,Restaurant Pizzeria Bellevue,4.3,POINT (7.4721675 46.9714378),POINT (7.4721675 46.9714378)
2335,"Untere Zollgasse 136, 3063 Ittigen, Switzerland",46.9725632,7.486456500000001,Genussreise,4.8,POINT (7.486456500000001 46.9725632),POINT (7.486456500000001 46.9725632)
2338,"Worblentalstrasse 89, 3063 Ittigen, Switzerland",46.974616600000004,7.478057600000001,Restaurant Thalheim,4.2,POINT (7.478057600000001 46.9746166),POINT (7.478057600000001 46.9746166)
2339,"Alte Tiefenaustrasse 4, 3048 Ittigen, Switzerland",46.97993109999999,7.4579203,Gasthof Tiefenau * * *,4.3,POINT (7.4579203 46.97993109999999),POINT (7.4579203 46.97993109999999)
2341,"Autobahn A1, 3063 Ittigen, Switzerland",46.9911,7.476496999999998,A1 Hotel Restaurant Grauholz AG,4.2,POINT (7.476496999999998 46.9911),POINT (7.476496999999998 46.9911)
2345,"Wolfackerweg 15, 3063 Ittigen, Switzerland",46.99103299999999,7.476478999999999,Hotel Restaurant Grauholz AG,0.0,POINT (7.476478999999999 46.99103299999999),POINT (7.476478999999999 46.99103299999999)
2346,"Fischrainweg 55, 3048 Ittigen, Switzerland",46.9800526,7.468007000000001,Restaurant Tivoli,5.0,POINT (7.468007000000001 46.9800526),POINT (7.468007000000001 46.9800526)
2368,"Talstrasse 17, 7270 Davos Platz, Switzerland",46.7935464,9.822882900000002,Pizzeria Padrino,4.4,POINT (9.822882900000002 46.7935464),POINT (9.822882900000002 46.7935464)
2369,"Promenade 95, 7270 Davos, Switzerland",46.801542100000006,9.8299715,Restaurant Pizzeria Da Elio,4.4,POINT (9.829971499999999 46.80154210000001),POINT (9.829971499999999 46.80154210000001)
2370,"Promenade 139, 7260 Davos Dorf, Switzerland",46.8071153,9.8375974,Pizzeria Palüda,4.4,POINT (9.8375974 46.8071153),POINT (9.8375974 46.8071153)
2371,"Bahnhofstrasse 6, 7260 Davos, Switzerland",46.8092833,9.841466699999998,Der Pate Pizzeria,4.4,POINT (9.841466699999998 46.8092833),POINT (9.841466699999998 46.8092833)
2372,"Talstrasse 2, 7270 Davos, Switzerland",46.7904444,9.819264800000001,Restaurant La Carretta,4.0,POINT (9.819264800000001 46.7904444),POINT (9.819264800000001 46.7904444)
2374,"Mattastrasse 11, 7270 Davos Platz, Switzerland",46.79391950000001,9.826678,Hänggis,4.6,POINT (9.826677999999999 46.79391950000001),POINT (9.826677999999999 46.79391950000001)
2378,"Chemin de la Bessonnette 1, 1224 Chêne-Bougeries, Switzerland",46.1970666,6.1891741,Restaurant de Chêne- Bougeries - Sofia & Cie,4.0,POINT (6.1891741 46.1970666),POINT (6.1891741 46.1970666)
2380,"Rue du Gothard 1, 1225 Chêne-Bourg, Switzerland",46.195054999999996,6.191942,Le restaurant de Philomène,4.4,POINT (6.191942 46.195055),POINT (6.191942 46.195055)
2381,"Avenue Petit-Senn 22, 1225 Chêne-Bourg, Switzerland",46.193493700000005,6.1933883000000005,Restaurant al belvédère,4.3,POINT (6.193388300000001 46.1934937),POINT (6.193388300000001 46.1934937)
2383,"Chemin du Pont-de-Ville 24, 1224 Chêne-Bougeries, Switzerland",46.1969693,6.1912099000000005,Restaurant Pizzeria OLEA,4.7,POINT (6.1912099 46.1969693),POINT (6.1912099 46.1969693)
2393,"Chemin de la Montagne 136, 1224 Chêne-Bougeries, Switzerland",46.204521,6.2001935999999995,Brasserie Ô TroisChêne,3.8,POINT (6.2001936 46.204521),POINT (6.2001936 46.204521)
2398,"Chemin de la Bessonnette 2, 1224 Chêne-Bougeries, Switzerland",46.197026799999996,6.1891386,Restaurant le Gruyèrien,4.5,POINT (6.1891386 46.1970268),POINT (6.1891386 46.1970268)
2403,"Rue du Gothard 11, 1225 Chêne-Bourg, Switzerland",46.194903000000004,6.192307,Restaurant Laï Thaï,4.2,POINT (6.192307 46.194903),POINT (6.192307 46.194903)
2404,"Rue du Gothard 16, 1225 Chêne-Bourg, Switzerland",46.194751000000004,6.192086,2 potes O' feu,4.5,POINT (6.192086 46.194751),POINT (6.192086 46.194751)
2411,"Place du Bourg-de-Four 8, 1204 Genève, Switzerland",46.200635,6.149185,Restaurant MONNA ISA,3.9,POINT (6.149185 46.200635),POINT (6.149185 46.200635)
2414,"Route de Chêne 65, 1224 Chêne-Bougeries, Switzerland",46.1997726,6.174561,Café Restaurant de Grange-Canal,4.1,POINT (6.174561 46.1997726),POINT (6.174561 46.1997726)
2415,"Avenue Petit-Senn 2, 1225 Chêne-Bourg, Switzerland",46.194596000000004,6.1921149999999985,La petite auberge,4.4,POINT (6.192114999999998 46.194596),POINT (6.192114999999998 46.194596)
